Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,,diode_tht_sod123,100.0,-125.0,0.0,bottom
D10,,diode_tht_sod123,138.0,-91.75,0.0,bottom
D11,,diode_tht_sod123,138.0,-72.75,0.0,bottom
D12,,diode_tht_sod123,138.0,-53.75,0.0,bottom
D13,,diode_tht_sod123,157.0,-106.0,0.0,bottom
D14,,diode_tht_sod123,157.0,-87.0,0.0,bottom
D15,,diode_tht_sod123,157.0,-68.0,0.0,bottom
D16,,diode_tht_sod123,157.0,-49.0,0.0,bottom
D17,,diode_tht_sod123,176.0,-110.75,0.0,bottom
D18,,diode_tht_sod123,176.0,-91.75,0.0,bottom
D19,,diode_tht_sod123,176.0,-72.75,0.0,bottom
D2,,diode_tht_sod123,100.0,-106.0,0.0,bottom
D20,,diode_tht_sod123,176.0,-53.75,0.0,bottom
D21,,diode_tht_sod123,195.0,-113.125,0.0,bottom
D22,,diode_tht_sod123,195.0,-94.125,0.0,bottom
D23,,diode_tht_sod123,195.0,-75.125,0.0,bottom
D24,,diode_tht_sod123,195.0,-56.125,0.0,bottom
D25,,diode_tht_sod123,182.78,-134.2142,10.0,bottom
D26,,diode_tht_sod123,202.8053,-139.4897,20.0,bottom
D27,,diode_tht_sod123,221.6102,-148.1625,30.0,bottom
D3,,diode_tht_sod123,100.0,-87.0,0.0,bottom
D4,,diode_tht_sod123,100.0,-68.0,0.0,bottom
D5,,diode_tht_sod123,119.0,-125.0,0.0,bottom
D6,,diode_tht_sod123,119.0,-106.0,0.0,bottom
D7,,diode_tht_sod123,119.0,-87.0,0.0,bottom
D8,,diode_tht_sod123,119.0,-68.0,0.0,bottom
D9,,diode_tht_sod123,138.0,-110.75,0.0,bottom
