Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,,diode_tht_sod123,389.1,-125.0,0.0,bottom
D10,,diode_tht_sod123,351.1,-91.75,0.0,bottom
D11,,diode_tht_sod123,351.1,-72.75,0.0,bottom
D12,,diode_tht_sod123,351.1,-53.75,0.0,bottom
D13,,diode_tht_sod123,332.1,-106.0,0.0,bottom
D14,,diode_tht_sod123,332.1,-87.0,0.0,bottom
D15,,diode_tht_sod123,332.1,-68.0,0.0,bottom
D16,,diode_tht_sod123,332.1,-49.0,0.0,bottom
D17,,diode_tht_sod123,313.1,-110.75,0.0,bottom
D18,,diode_tht_sod123,313.1,-91.75,0.0,bottom
D19,,diode_tht_sod123,313.1,-72.75,0.0,bottom
D2,,diode_tht_sod123,389.1,-106.0,0.0,bottom
D20,,diode_tht_sod123,313.1,-53.75,0.0,bottom
D21,,diode_tht_sod123,294.1,-113.125,0.0,bottom
D22,,diode_tht_sod123,294.1,-94.125,0.0,bottom
D23,,diode_tht_sod123,294.1,-75.125,0.0,bottom
D24,,diode_tht_sod123,294.1,-56.125,0.0,bottom
D25,,diode_tht_sod123,306.32,-134.2142,350.0,bottom
D26,,diode_tht_sod123,286.2947,-139.4897,340.0,bottom
D27,,diode_tht_sod123,267.4898,-148.1625,330.0,bottom
D3,,diode_tht_sod123,389.1,-87.0,0.0,bottom
D4,,diode_tht_sod123,389.1,-68.0,0.0,bottom
D5,,diode_tht_sod123,370.1,-125.0,0.0,bottom
D6,,diode_tht_sod123,370.1,-106.0,0.0,bottom
D7,,diode_tht_sod123,370.1,-87.0,0.0,bottom
D8,,diode_tht_sod123,370.1,-68.0,0.0,bottom
D9,,diode_tht_sod123,351.1,-110.75,0.0,bottom
